year,position,name,team,avg,game_cnt,pa,ab,r,hit,2b,3b,home_run,tb,rbi,sac,sf
2022,포수,이병헌,삼성,0.750,3,4,4,1,3,1,0,0,4,1,0,0
2022,포수,권다결,KIA,0.500,2,2,2,0,1,0,0,0,1,1,0,0
2022,포수,김재성,삼성,0.335,63,185,161,16,54,10,0,3,73,26,1,3
2022,포수,안승한,두산,0.333,30,39,36,5,12,3,0,0,15,8,1,0
2022,포수,김선우,KIA,0.333,3,4,3,1,1,0,0,0,1,0,0,0
2022,포수,김태군,삼성,0.298,102,235,205,20,61,11,0,2,78,25,6,3
2022,포수,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10
2022,포수,김준태,KT,0.273,98,270,231,28,63,16,1,4,93,27,3,3
2022,포수,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0
2022,포수,장성우,KT,0.260,117,420,362,48,94,11,0,18,159,55,1,3
2022,포수,강민호,삼성,0.258,130,444,396,38,102,19,1,13,162,66,1,3
2022,포수,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2
2022,포수,박세혁,두산,0.248,128,402,351,33,87,13,1,3,111,41,8,4
2022,포수,허도환,LG,0.247,64,92,85,7,21,5,0,1,29,6,3,0
2022,포수,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1
2022,포수,박유연,두산,0.235,13,19,17,0,4,0,0,0,4,2,0,0
2022,포수,박상언,한화,0.224,56,151,134,16,30,5,1,4,49,17,5,1
2022,포수,최재훈,한화,0.223,114,437,364,38,81,14,0,5,110,30,5,2
2022,포수,김기연,LG,0.222,12,9,9,0,2,0,0,0,2,1,0,0
2022,포수,김민식,SSG,0.221,104,266,222,30,49,9,1,2,66,28,7,3
2022,포수,허관회,한화,0.217,15,25,23,3,5,2,0,0,7,1,1,0
2022,포수,지시완,롯데,0.213,75,199,174,16,37,7,0,3,53,17,2,1
2022,포수,장승현,두산,0.208,60,109,96,6,20,3,0,0,23,9,3,1
2022,포수,김재현,키움,0.207,56,88,82,4,17,4,0,1,24,9,2,1
