,year,position,name,team,avg,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba
0,2022,포수,이병헌,삼성,0.750,0,0,0,1,0,1.000,0.750,1.750,1,0.500,0.000
1,2022,포수,권다결,KIA,0.500,0,0,0,0,0,0.500,0.500,1.000,0,0.500,0.000
2,2022,포수,김재성,삼성,0.335,18,0,2,40,4,0.453,0.402,0.855,14,0.311,0.286
3,2022,포수,안승한,두산,0.333,2,0,0,12,0,0.417,0.368,0.785,2,0.385,1.000
4,2022,포수,김선우,KIA,0.333,0,0,1,0,0,0.333,0.500,0.833,0,0.000,0.000
5,2022,포수,김태군,삼성,0.298,17,0,4,34,15,0.380,0.358,0.738,8,0.310,0.435
6,2022,포수,양의지,NC,0.283,60,6,13,48,16,0.480,0.380,0.860,28,0.350,0.667
7,2022,포수,김준태,KT,0.273,33,1,0,77,4,0.403,0.360,0.763,16,0.250,0.182
8,2022,포수,이지영,키움,0.267,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364
9,2022,포수,장성우,KT,0.260,52,2,2,79,12,0.439,0.353,0.792,26,0.277,0.100
10,2022,포수,강민호,삼성,0.258,41,4,3,58,21,0.409,0.330,0.739,19,0.287,0.400
11,2022,포수,유강남,LG,0.255,34,1,11,98,9,0.351,0.326,0.677,27,0.255,0.385
12,2022,포수,박세혁,두산,0.248,33,1,6,71,4,0.316,0.320,0.636,18,0.354,0.200
13,2022,포수,허도환,LG,0.247,2,0,2,26,2,0.341,0.281,0.622,5,0.174,0.000
14,2022,포수,박동원,KIA,0.242,45,4,9,95,9,0.436,0.334,0.770,21,0.234,0.077
15,2022,포수,박유연,두산,0.235,1,0,1,5,1,0.235,0.316,0.551,0,0.250,0.333
16,2022,포수,박상언,한화,0.224,11,0,0,28,2,0.366,0.281,0.647,6,0.244,0.500
17,2022,포수,최재훈,한화,0.223,44,0,21,65,17,0.302,0.339,0.641,19,0.263,0.500
18,2022,포수,김기연,LG,0.222,0,0,0,3,0,0.222,0.222,0.444,0,0.500,0.000
19,2022,포수,김민식,SSG,0.221,32,1,2,45,4,0.297,0.320,0.617,8,0.254,0.167
20,2022,포수,허관회,한화,0.217,1,0,0,7,2,0.304,0.250,0.554,0,0.000,0.250
21,2022,포수,지시완,롯데,0.213,20,1,2,55,7,0.305,0.299,0.604,6,0.227,0.313
